city,latitude,longitude,areaCode
Tryon,35.2406,-82.0487,828
Canton,35.4597,-82.8677,828
Monroe,35.0691,-80.5302,704
Pineville,35.0776,-80.8907,704
Kinston,35.2157,-77.5764,252
Autryville,35.0313,-78.6262,910
Hayesville,35.0739,-83.7051,828
Jonesville,36.219,-80.8126,336
Thomasville,35.8535,-80.1084,336
Asheboro,35.7382,-79.769,336
Wilkesboro,36.1425,-81.1635,336
Lexington,35.7362,-80.1931,336
Clayton,35.6263,-78.4371,919
Snow Hill,35.4448,-77.6892,252
Morehead City,34.7386,-76.7677,252
Mccutcheon Field,34.6921,-77.3912,910
Winterville,35.5127,-77.4146,252
Fort Bragg,35.0506,-78.8038,910
Camp Lejeune,34.6403,-77.3043,910
Lowgap,36.518,-80.8348,336
Denton,35.614,-80.0952,336
Oxford,36.3482,-78.6463,919
Norwood,35.2183,-80.1598,704
Salisbury,35.6872,-80.5669,704
Waynesville,35.6346,-83.023,828
Climax,35.8933,-79.7066,336
Gastonia,35.2298,-81.2428,704
Rockingham,34.9302,-79.767,910
Charlotte,35.2264,-80.8453,704
Charlotte,35.2077,-80.86,704
New London,35.452,-80.1727,704
Cornelius,35.4699,-80.8801,704
Charlotte,35.206,-80.829,704
Burnsville,35.8807,-82.3095,828
Woodleaf,35.7909,-80.6023,704
Salisbury,35.6267,-80.4218,704
Pinebluff,35.0947,-79.4857,910
Denver,35.5064,-81.0371,704
Maiden,35.5779,-81.1677,828
Charlotte,35.206,-80.829,704
Hildebran,35.7199,-81.4208,828
Mount Airy,36.4617,-80.6191,336
Belhaven,35.6169,-76.485,252
Trinity,35.8032,-79.9827,336
Star,35.4355,-79.7967,910
Winston Salem,36.0864,-80.2636,336
Lewisville,36.091,-80.4398,336
Selma,35.5848,-78.2461,919
Bolivia,34.015,-78.1685,910
Severn,36.5147,-77.1917,252
Corolla,36.3897,-75.8347,252
Elizabethtown,34.6849,-78.5435,910
Beulaville,34.9022,-77.7451,910
Ocracoke,35.1304,-75.9164,252
Aberdeen,35.106,-79.4507,910
Fayetteville,35.0407,-78.9024,910
Youngsville,35.9948,-78.4405,919
Madison,36.3702,-79.968,336
Franklin,35.1833,-83.4307,828
Gastonia,35.2617,-81.1485,704
Mebane,36.1399,-79.2665,919
Newton,35.6348,-81.2391,828
Sanford,35.3674,-79.138,919
Alexander,35.6902,-82.6476,828
Mooresville,35.5675,-80.8908,704
Waynesville,35.4499,-82.9761,828
Old Fort,35.6284,-82.1959,828
Asheville,35.5912,-82.546,828
Statesville,35.8826,-80.8967,704
Benson,35.4177,-78.5005,919
Raleigh,35.9473,-78.5626,919
Richfield,35.5059,-80.2348,704
Raleigh,35.8116,-78.646,919
Chapel Hill,35.9133,-79.1592,919
Robersonville,35.8037,-77.234,252
Fayetteville,35.0407,-78.9024,910
Fayetteville,34.9339,-78.8226,910
Asheville,35.5283,-82.5225,828
Reidsville,36.34,-79.6288,336
Weldon,36.4139,-77.5944,252
Roxboro,36.3995,-78.976,336
North Wilkesboro,36.2174,-81.1197,336
Calabash,33.9182,-78.5999,910
Hudson,35.8448,-81.4788,828
Ocean Isle Beach,33.9259,-78.4498,910
Midland,35.2445,-80.5164,704
Lexington,35.805,-80.2632,336
High Point,35.9572,-80.0418,336
Rougemont,36.2535,-78.8985,919
Winnabow,34.1266,-78.0652,910
Albemarle,35.34,-80.2108,704
Coats,35.4166,-78.6573,910
Richlands,34.8791,-77.5906,910
Ayden,35.4425,-77.4045,252
Cary,35.7821,-78.8177,919
Tarboro,35.907,-77.5424,252
Salisbury,35.7093,-80.4523,704
Zebulon,35.8081,-78.3169,919
Linville,36.0678,-81.8774,828
Garner,35.6461,-78.5791,919
Jacksonville,34.7984,-77.3592,910
Durham,36.0512,-78.8577,919
Browns Summit,36.2048,-79.6734,336
Rural Hall,36.2366,-80.2983,336
Burgaw,34.5521,-77.9068,910
Spruce Pine,35.9117,-82.0671,828
High Point,35.905,-79.9512,336
Carrboro,35.9104,-79.0821,919
Middlesex,35.7831,-78.2051,919
Goldsboro,35.4631,-77.9957,919
Shallotte,33.9814,-78.4121,910
Charlotte,35.206,-80.829,704
Raleigh,35.9022,-78.6283,919
Raleigh,35.8278,-78.6421,919
Butner,36.1317,-78.7662,919
Wagram,34.9232,-79.4047,910
Brunswick,34.2893,-78.7059,910
Raleigh,35.8822,-78.4134,919
Wadesboro,35.0073,-80.086,704
Black Mountain,35.605,-82.3132,828
Sylva,35.362,-83.2078,828
Manson,36.4674,-78.305,252
Kenansville,34.9729,-77.9234,910
Lillington,35.3874,-78.8686,910
Mc Leansville,36.1076,-79.6704,336
Dallas,35.3488,-81.1858,704
Spindale,35.3586,-81.9239,828
Everetts,35.8316,-77.1724,252
Wentworth,36.3361,-79.653,336
Yanceyville,36.3823,-79.3213,336
Yadkinville,36.1242,-80.6351,336
Charlotte,35.2157,-80.8262,704
Wingate,34.9688,-80.4554,704
Indian Trail,35.1137,-80.6083,704
Matthews,35.0905,-80.6947,704
Charlotte,35.218,-80.7859,704
Boone,36.2213,-81.7134,828
Winston Salem,36.0275,-80.2073,336
Winston Salem,36.0275,-80.2073,336
Greensboro,36.0661,-79.8067,415
Charlotte,35.3041,-80.7267,704
Winston Salem,36.0864,-80.2636,336
Chapel Hill,36.0525,-79.1077,919
Pembroke,34.6972,-79.1683,910
Banner Elk,36.1452,-81.838,828
Cullowhee,35.2521,-83.1871,828
Murfreesboro,36.4241,-77.066,252
Elon,36.1656,-79.5205,336
Charlotte,35.1879,-80.8317,704
Mount Olive,35.1638,-78.0702,919
Buies Creek,35.4068,-78.7382,910
Raleigh,35.8278,-78.6421,919
Chapel Hill,35.9098,-79.0781,919
Davidson,35.4838,-80.7943,704
Boiling Springs,35.2579,-81.6617,704
Greensboro,36.0807,-80.0244,336
Winston Salem,36.022,-80.2914,336
Polkton,35.0611,-80.2045,704
Charlotte,35.276,-80.9595,704
Blanch,36.4635,-79.267,336
Charlotte,35.1833,-80.6423,704
Charlotte,35.1862,-80.7479,704
